Acc_sugg,Acc_rnd,ROC_sugg,ROC_rnd,pr_sugg,pr_rnd,recall_sugg,recall_rnd,f1_sugg,f1_rnd,gmean_sugg,gmean_rnd,f3_sugg,f3_rnd
0.6753246753246753,0.6805194805194805,0.68258807588075887,0.68746612466124668,0.66465766268121185,0.66840686735689159,0.57073170731707312,0.58048780487804885,0.64497747682763151,0.65839602826713739,0.66571205700300973,0.6765847539851555,0.58330042325993003,0.5942055475477106
0.7506493506493508,0.638961038961039,0.75196476964769643,0.64539295392953933,0.72311010856463365,0.63248271281275958,0.73170731707317072,0.54634146341463408,0.75424304352990168,0.59179625375170741,0.7450421406699802,0.60979972433414742,0.7351380487394843,0.55262534250021034
0.7402597402597404,0.638961038961039,0.74220867208672081,0.6504742547425475,0.71480558170231245,0.64140881718981402,0.71219512195121948,0.47317073170731705,0.74316424557947935,0.57048696687502665,0.73589380370094148,0.61604504024462392,0.71740873733327537,0.48917690744615855
0.7610389610389612,0.6909090909090909,0.76002710027100273,0.69857723577235775,0.72639599749096384,0.67962100230392919,0.775609756097561,0.58048780487804885,0.77536275959283052,0.65692114746947516,0.75581716699636137,0.68056869133479447,0.7749397019936457,0.59356743970473824
0.7272727272727273,0.7168831168831169,0.73102981029810299,0.72161246612466134,0.70787784465262404,0.69679090395451815,0.67317073170731712,0.64878048780487807,0.71937888734990185,0.70897335309993537,0.72009112032077283,0.71728180289996701,0.68079146944191993,0.65989803984267159
0.7688311688311689,0.6831168831168831,0.76937669376693774,0.69295392953929524,0.73656409995273608,0.67683804007801263,0.76097560975609757,0.54146341463414638,0.77651547342725846,0.63931718281718286,0.76669553714094785,0.67103899743754192,0.76353983292711525,0.55795615858965031
0.7506493506493507,0.7376623376623377,0.75399728997289972,0.74315718157181576,0.72669323864029278,0.71786471240380856,0.70243902439024397,0.65853658536585369,0.74909781576448242,0.72754485992842155,0.75123034622006024,0.73824528214971985,0.71111682495224648,0.67126062847399859
0.7688311688311689,0.7116883116883117,0.7676829268292682,0.71808943089430899,0.72904867127095097,0.6956119799205952,0.78536585365853662,0.61951219512195121,0.78167610623016781,0.69246970685326859,0.76670978033384163,0.70904334229168764,0.78446703057395761,0.63256914663269759
0.7636363636363637,0.6597402597402598,0.7628048780487805,0.67066395663956646,0.72543325233440759,0.65737870149601341,0.775609756097561,0.5024390243902439,0.77576250194825769,0.60191528254494286,0.76004967693117997,0.642077548124389,0.77518342984884137,0.51920578842606746
0.7922077922077922,0.6701298701298702,0.79132791327913277,0.67906504065040663,0.75297881247200382,0.66462787808834223,0.80487804878048785,0.54146341463414638,0.80359816820442342,0.63319883489957296,0.78888029701357487,0.66341790845359849,0.80420631195150705,0.55749895023298957
0.7948051948051948,0.6597402597402598,0.79410569105691053,0.66863143631436306,0.75663517523884005,0.65313980244594205,0.80487804878048785,0.53170731707317076,0.8056882582945134,0.62282761618080262,0.79137784719135129,0.65234909560894527,0.80456432338318229,0.54749674557028638
0.7948051948051948,0.6857142857142857,0.79207317073170735,0.6950542005420054,0.74958455236291932,0.67972601979533798,0.83414634146341471,0.551219512195122,0.81174323976409435,0.65054279598064046,0.7903301068078219,0.67920400625485822,0.82945444930149326,0.56847941221272558
0.8077922077922078,0.6805194805194806,0.80528455284552847,0.68949864498644997,0.76310972663040544,0.67251200831688629,0.84390243902439033,0.551219512195122,0.82349760408461736,0.64307872938003152,0.80314177900851969,0.67297790098412091,0.83952847644370487,0.56714588724889814
0.8129870129870131,0.6779220779220779,0.81117886178861787,0.68638211382113823,0.77016769123232254,0.6717147285866798,0.83902439024390252,0.55609756097560981,0.82662208005826654,0.64720609885912739,0.80975772586541273,0.67276413139587543,0.83634067148722979,0.57205249261577507
