Acc_sugg,ROC_sugg,pr_sugg,recall_sugg,f1_sugg,gmean_sugg,f3_sugg
0.6857142857142857,0.68794037940379404,0.66235619604662854,0.65365853658536588,0.68502948432738076,0.68041484234519378,0.65880540755191519
0.6441558441558441,0.65264227642276418,0.64258878904578531,0.52195121951219514,0.60084576913794596,0.63130253539772674,0.5353511585234384
0.6649350649350649,0.67181571815718155,0.65578704694558354,0.56585365853658542,0.64026926218707036,0.65989648675101253,0.57896260436850044
0.677922077922078,0.68536585365853653,0.66840447154471538,0.57073170731707323,0.64832536706179944,0.66966440751611034,0.58405659734699555
0.6779220779220779,0.6867208672086722,0.67338095410557897,0.551219512195122,0.63677452269057877,0.66507092936677403,0.56565329366649397
0.6467532467532467,0.65609756097560967,0.64786678663360742,0.51219512195121952,0.60528796923475614,0.63652238085586188,0.52804999464124291
0.6597402597402597,0.66930894308943079,0.65768331448699724,0.52195121951219514,0.61190739810992978,0.64367896463966479,0.53686896199858414
0.6519480519480519,0.66165311653116521,0.65146381960406341,0.51219512195121952,0.60545996547156844,0.63906740330583545,0.52789444887039183
0.6441558441558441,0.65399728997289963,0.64525974766960981,0.5024390243902439,0.59091251885369533,0.62674361576719506,0.51704965711208695
0.6467532467532469,0.65813008130081296,0.64927918126221407,0.48292682926829267,0.58435768456895221,0.62574608357612538,0.49946723270638527
0.6675324675324675,0.68069105691056919,0.67372254892509387,0.47804878048780486,0.59577390445811496,0.64212754265238225,0.49698021220277938
0.6623376623376623,0.676490514905149,0.67157122456837803,0.45853658536585362,0.57965717078620305,0.63107722386648279,0.47760845112451361
0.6701298701298701,0.68482384823848252,0.68151494034420868,0.45853658536585373,0.58531563512887796,0.63644641688739723,0.47832232262554381
0.6649350649350649,0.67859078590785904,0.67211067453072337,0.46829268292682935,0.58808359882757755,0.63676815751316873,0.48735925220940768
0.6779220779220779,0.69180216802168015,0.68603709825627068,0.47804878048780486,0.60466491742552864,0.65160358141581454,0.49826079818263869
